x,y,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,PROVINCE_CODE,LOCAL_YEAR,STATION_NAME,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,LOCAL_DAY,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,ID,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST
-114.013333333333,51.1225,4.2,0.0,50.0,0.0,18.0,,AB,2024,CALGARY INTL A,1,,,M,,-4.2,2.0,M,,3031092,92.0,1,,2024-01-01,3031092.2024.1.1,,,,0.0,,,2.0,,,
-114.013333333333,51.1225,3.1,-2.1,50.0,0.0,20.1,,AB,2024,CALGARY INTL A,1,,,M,,-7.3,0.0,M,,3031092,95.0,2,,2024-01-02,3031092.2024.1.2,,,,0.0,,,0.0,,,
-114.013333333333,51.1225,-4.0,-6.2,95.0,0.0,24.2,,AB,2024,CALGARY INTL A,1,,,M,,-8.3,0.0,M,,3031092,98.0,3,,2024-01-03,3031092.2024.1.3,,,,0.0,,,0.0,,,
-114.013333333333,51.1225,4.4,-2.0,42.0,0.0,20.0,,AB,2024,CALGARY INTL A,1,,,,,-8.3,0.0,,,3031092,98.0,4,,2024-01-04,3031092.2024.1.4,,28.0,,0.0,,,0.0,,,35.0
-114.013333333333,51.1225,3.9,0.1,31.0,0.0,17.9,,AB,2024,CALGARY INTL A,1,,,,,-3.7,0.0,,,3031092,82.0,5,,2024-01-05,3031092.2024.1.5,T,34.0,,0.0,0.0,,0.0,,,51.0
-114.013333333333,51.1225,-0.4,-5.0,44.0,0.0,23.0,,AB,2024,CALGARY INTL A,1,,,,,-9.6,1.2,,,3031092,86.0,6,,2024-01-06,3031092.2024.1.6,T,1.0,,1.0,0.0,,0.0,,,49.0
-114.013333333333,51.1225,-9.6,-13.5,71.0,0.0,31.5,,AB,2024,CALGARY INTL A,1,,,,,-17.4,2.0,,,3031092,87.0,7,,2024-01-07,3031092.2024.1.7,,34.0,,3.2,3.0,,0.0,,,48.0
-114.013333333333,51.1225,-1.9,-10.8,36.0,0.0,28.8,,AB,2024,CALGARY INTL A,1,T,T,,,-19.6,0.0,,,3031092,84.0,8,,2024-01-08,3031092.2024.1.8,,28.0,,0.0,3.0,,0.0,,,43.0
-114.013333333333,51.1225,0.1,-7.7,44.0,0.0,25.7,,AB,2024,CALGARY INTL A,1,,,,,-15.4,0.8,,,3031092,82.0,9,,2024-01-09,3031092.2024.1.9,,36.0,,0.8,3.0,,0.0,,,49.0
-114.013333333333,51.1225,-15.3,-19.9,69.0,0.0,37.9,,AB,2024,CALGARY INTL A,1,,,,,-24.4,10.0,,,3031092,79.0,10,,2024-01-10,3031092.2024.1.10,,3.0,,10.0,5.0,,0.0,,,43.0
-114.013333333333,51.1225,-24.1,-28.3,60.0,0.0,46.3,,AB,2024,CALGARY INTL A,1,,,,,-32.4,1.2,,,3031092,71.0,11,,2024-01-11,3031092.2024.1.11,,1.0,,1.2,11.0,,0.0,,,47.0
-114.013333333333,51.1225,-30.4,-33.0,52.0,0.0,51.0,,AB,2024,CALGARY INTL A,1,T,T,,,-35.6,0.0,,,3031092,70.0,12,,2024-01-12,3031092.2024.1.12,,34.0,,0.0,11.0,,0.0,,,31.0
-114.013333333333,51.1225,-26.7,-30.8,52.0,0.0,48.8,,AB,2024,CALGARY INTL A,1,T,T,M,,-34.8,0.0,M,,3031092,72.0,13,,2024-01-13,3031092.2024.1.13,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,-27.2,-31.7,59.0,0.0,49.7,,AB,2024,CALGARY INTL A,1,T,T,M,,-36.2,0.0,M,,3031092,75.0,14,,2024-01-14,3031092.2024.1.14,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,-7.6,-19.5,41.0,0.0,37.5,,AB,2024,CALGARY INTL A,1,,,M,,-31.4,0.0,M,,3031092,75.0,15,,2024-01-15,3031092.2024.1.15,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,-6.4,-10.8,52.0,0.0,28.8,,AB,2024,CALGARY INTL A,1,,,,,-15.1,3.2,,,3031092,90.0,16,,2024-01-16,3031092.2024.1.16,,3.0,,4.0,8.0,,0.0,,,37.0
-114.013333333333,51.1225,-14.8,-16.6,74.0,0.0,34.6,,AB,2024,CALGARY INTL A,1,,,,,-18.4,5.4,,,3031092,81.0,17,,2024-01-17,3031092.2024.1.17,,35.0,,5.2,10.0,,0.0,,,31.0
-114.013333333333,51.1225,-14.9,-19.1,55.0,0.0,37.1,,AB,2024,CALGARY INTL A,1,T,T,,,-23.2,0.0,,,3031092,82.0,18,,2024-01-18,3031092.2024.1.18,,35.0,,0.0,15.0,,0.0,,,32.0
-114.013333333333,51.1225,-15.6,-20.1,68.0,0.0,38.1,,AB,2024,CALGARY INTL A,1,,,,,-24.6,0.0,,,3031092,81.0,19,,2024-01-19,3031092.2024.1.19,,17.0,,0.0,12.0,,0.0,,,32.0
-114.013333333333,51.1225,-7.2,-11.4,70.0,0.0,29.4,,AB,2024,CALGARY INTL A,1,,,M,,-15.6,0.0,M,,3031092,86.0,20,,2024-01-20,3031092.2024.1.20,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,-11.7,-12.3,76.0,0.0,30.3,,AB,2024,CALGARY INTL A,1,T,T,M,,-12.9,0.0,M,,3031092,87.0,21,,2024-01-21,3031092.2024.1.21,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,-12.2,-13.3,83.0,0.0,31.3,,AB,2024,CALGARY INTL A,1,,,,,-14.4,2.1,,,3031092,89.0,22,,2024-01-22,3031092.2024.1.22,,15.0,,2.7,12.0,,0.0,,,32.0
-114.013333333333,51.1225,8.0,-2.2,41.0,0.0,20.2,,AB,2024,CALGARY INTL A,1,,,M,,-12.4,0.0,M,,3031092,83.0,23,,2024-01-23,3031092.2024.1.23,,,,0.0,12.0,,0.0,,,
-114.013333333333,51.1225,4.9,-1.3,48.0,0.0,19.3,,AB,2024,CALGARY INTL A,1,,,M,,-7.5,0.0,M,,3031092,85.0,24,,2024-01-24,3031092.2024.1.24,,,,0.0,10.0,,0.0,,,
-114.013333333333,51.1225,8.5,3.9,34.0,0.0,14.1,,AB,2024,CALGARY INTL A,1,,,,,-0.8,0.0,,,3031092,76.0,25,,2024-01-25,3031092.2024.1.25,,28.0,,0.0,7.0,,0.0,,,42.0
-114.013333333333,51.1225,8.2,2.6,34.0,0.0,15.4,,AB,2024,CALGARY INTL A,1,,,,,-3.0,0.0,,,3031092,67.0,26,,2024-01-26,3031092.2024.1.26,,27.0,,0.0,5.0,,0.0,,,45.0
-114.013333333333,51.1225,11.5,3.1,37.0,0.0,14.9,,AB,2024,CALGARY INTL A,1,,,,,-5.4,0.0,,,3031092,74.0,27,,2024-01-27,3031092.2024.1.27,,27.0,,0.0,,,0.0,,,51.0
-114.013333333333,51.1225,13.1,6.3,45.0,0.0,11.7,,AB,2024,CALGARY INTL A,1,,,,,-0.6,0.0,,,3031092,86.0,28,,2024-01-28,3031092.2024.1.28,,29.0,,0.0,10.0,,0.0,,,32.0
-114.013333333333,51.1225,9.9,4.7,53.0,0.0,13.3,,AB,2024,CALGARY INTL A,1,,,M,,-0.5,0.0,M,,3031092,83.0,29,,2024-01-29,3031092.2024.1.29,,,,0.0,6.0,,0.0,,,
-114.013333333333,51.1225,15.4,8.0,25.0,0.0,10.0,,AB,2024,CALGARY INTL A,1,,,,,0.6,0.0,,,3031092,73.0,30,,2024-01-30,3031092.2024.1.30,,32.0,,0.0,2.0,,0.0,,,40.0
-114.013333333333,51.1225,8.8,2.9,56.0,0.0,15.1,,AB,2024,CALGARY INTL A,1,,,,,-3.0,0.0,,,3031092,86.0,31,,2024-01-31,3031092.2024.1.31,,19.0,,0.0,1.0,,0.0,,,33.0
-114.013333333333,51.1225,12.6,6.2,48.0,0.0,11.8,,AB,2024,CALGARY INTL A,2,,,M,,-0.2,0.0,M,,3031092,70.0,1,,2024-02-01,3031092.2024.2.1,T,,,0.0,0.0,,0.0,,,
-114.013333333333,51.1225,12.1,5.3,42.0,0.0,12.7,,AB,2024,CALGARY INTL A,2,,,M,,-1.5,0.0,M,,3031092,89.0,2,,2024-02-02,3031092.2024.2.2,T,,,0.0,0.0,,0.0,,,
-114.013333333333,51.1225,5.5,1.2,55.0,0.0,16.8,,AB,2024,CALGARY INTL A,2,,T,,,-3.1,0.8,,,3031092,89.0,3,,2024-02-03,3031092.2024.2.3,T,36.0,,0.0,0.0,,0.8,,,51.0
-114.013333333333,51.1225,-2.6,-5.0,67.0,0.0,23.0,,AB,2024,CALGARY INTL A,2,,,,,-7.3,7.9,,,3031092,90.0,4,,2024-02-04,3031092.2024.2.4,,36.0,,9.3,1.0,,0.0,,,37.0
-114.013333333333,51.1225,-2.3,-7.5,69.0,0.0,25.5,,AB,2024,CALGARY INTL A,2,T,T,,,-12.6,0.0,,,3031092,97.0,5,,2024-02-05,3031092.2024.2.5,,8.0,,0.0,9.0,,0.0,,,31.0
-114.013333333333,51.1225,-6.3,-7.4,90.0,0.0,25.4,,AB,2024,CALGARY INTL A,2,,,M,,-8.5,0.2,M,,3031092,95.0,6,,2024-02-06,3031092.2024.2.6,,,,0.2,7.0,,0.0,,,
-114.013333333333,51.1225,-7.0,-7.6,93.0,0.0,25.6,,AB,2024,CALGARY INTL A,2,,,M,,-8.2,2.1,M,,3031092,94.0,7,,2024-02-07,3031092.2024.2.7,,,,2.8,2.0,,0.0,,,
-114.013333333333,51.1225,-4.6,-6.2,86.0,0.0,24.2,,AB,2024,CALGARY INTL A,2,,,M,,-7.7,0.4,M,,3031092,97.0,8,,2024-02-08,3031092.2024.2.8,,,,0.4,7.0,,0.0,,,
