Date,***NGTL Field Receipts-Extrapolated,**Total Net Storage-Extrapolated,**Total Net Storage-NextDayNominated,**Total Net Storage-Prorated,*OTHER BORDERS-Extrapolated,*OTHER BORDERS-NextDayNominated,*OTHER BORDERS-Prorated,ALBERTA-B.C. BDR-Extrapolated,ALBERTA-B.C. BDR-NextDayNominated,ALBERTA-B.C. BDR-Prorated,EMPRESS BORDER-Extrapolated,EMPRESS BORDER-NextDayNominated,EMPRESS BORDER-Prorated,End of Day Linepack-Extrapolated,GORDONDALE BORDER-Extrapolated,GORDONDALE BORDER-NextDayNominated,GORDONDALE BORDER-Prorated,GROUNDBIRCH EAST-Extrapolated,GROUNDBIRCH EAST-NextDayNominated,GROUNDBIRCH EAST-Prorated,Gas Day-Extrapolated,Gas Day-NextDayNominated,Gas Day-Prorated,Intraprovincial-Extrapolated,Intraprovincial-NextDayNominated,Intraprovincial-Prorated,Linepack Change (Last 24 hours)-Extrapolated,Linepack Rate of Change-Extrapolated,Linepack Target-Extrapolated,MCNEILL BORDER-Extrapolated,MCNEILL BORDER-NextDayNominated,MCNEILL BORDER-Prorated,Tolerance Last Changed-Extrapolated,Tolerance-Extrapolated,Total NGTL Deliveries-Extrapolated,Total NGTL Deliveries-NextDayNominated,Total NGTL Deliveries-Prorated,Total NGTL Receipts-Extrapolated,Total NGTL Receipts-NextDayNominated,Total NGTL Receipts-Prorated,Total OBA Account (TJ)-Extrapolated,Total SD Account (TJ)-Extrapolated,Total Storage + Intraprovincial-Extrapolated,Total Storage + Intraprovincial-NextDayNominated,Total Storage + Intraprovincial-Prorated,Total Storage Deliveries-Extrapolated,Total Storage Deliveries-NextDayNominated,Total Storage Deliveries-Prorated,Total Storage Receipts-Extrapolated,Total Storage Receipts-NextDayNominated,Total Storage Receipts-Prorated,WILLOW VALLEY INTERCONNECT-Extrapolated,WILLOW VALLEY INTERCONNECT-NextDayNominated,WILLOW VALLEY INTERCONNECT-Prorated
2024-05-08,13235,-223,-801,-253,-386,-384,-377,-2699,-2111,-2658,-3982,-4098,-3990,19640,139,134,136,0,0,0,2024-May-08,2024-May-09,2024-May-08,-5522,-9990,-10385,24,-397,21012,-443,-599,-419,2024-Feb-22 at 08:00,-2/0 (%),-13441,-18513,-19060,13561,22329,22789,84.0,-236.2,-5932,-11320,-11616,-410,-1331,-1231,187,530,978,0,0,0
2024-05-07,12755,-346,-250,-332,-386,-377,-372,-2142,-2689,-2226,-3996,-4024,-3991,19616,137,136,137,0,0,0,2024-May-07,2024-May-08,2024-May-07,-5538,-10007,-10364,-219,310,21012,-470,-411,-429,2024-Feb-22 at 08:00,-2/0 (%),-12974,-18486,-18466,12987,22543,21941,91.4,-375.4,-5979,-10986,-11449,-441,-979,-1085,95,729,754,0,0,0
2024-05-06,12706,-266,-278,-179,-388,-375,-375,-2666,-2229,-2656,-4028,-3855,-4023,19835,189,139,179,0,0,0,2024-May-06,2024-May-07,2024-May-06,-5405,-10003,-10372,-300,-356,21365,-463,-445,-426,2024-Feb-22 at 08:00,-2/0 (%),-13439,-17810,-19001,13119,22382,22752,78.8,-413.7,-5895,-10906,-11520,-489,-902,-1148,223,625,969,0,0,0
2024-05-05,13843,-896,-288,-925,-395,-394,-371,-2667,-2673,-2696,-4034,-3971,-4030,20135,175,177,178,0,0,0,2024-May-05,2024-May-06,2024-May-05,-5549,-10002,-10380,-341,-1492,21365,-484,-486,-521,2024-Feb-22 at 08:00,-2/0 (%),-14025,-18472,-19614,14018,22438,22475,138.6,-71.4,-6445,-10948,-11997,-896,-945,-1617,0,657,691,0,0,0
2024-05-04,13941,-652,-722,-664,-374,-391,-399,-2683,-2701,-2695,-4073,-4031,-4068,20476,218,179,221,0,0,0,2024-May-04,2024-May-05,2024-May-04,-5637,-10012,-10394,300,205,21365,-473,-483,-479,2024-Feb-22 at 08:00,-2/0 (%),-13893,-19051,-19419,14159,22495,22525,43.8,-44.0,-6289,-11446,-11778,-652,-1434,-1384,0,712,720,0,0,0
2024-05-03,13850,-465,-638,-422,-401,-391,-419,-2739,-2690,-2703,-4138,-4026,-4153,20175,158,177,158,0,0,0,2024-May-03,2024-May-04,2024-May-03,-5895,-9979,-10337,-59,-234,21365,-375,-465,-441,2024-Feb-22 at 08:00,-2/0 (%),-14025,-18900,-19360,14023,22471,22632,15.3,-336.1,-6374,-11327,-11643,-479,-1348,-1305,14,710,884,0,0,0
2024-05-02,13634,60,-319,62,-388,-423,-411,-2745,-2657,-2701,-4082,-4102,-4075,20234,155,158,154,0,0,21,2024-May-02,2024-May-03,2024-May-02,-5968,-10091,-10407,132,-128,21365,-511,-515,-510,2024-Feb-22 at 08:00,-2/0 (%),-13873,-18942,-19207,14028,22593,22945,58.5,-211.1,-6147,-11244,-11508,-179,-1153,-1101,239,834,1163,0,0,0
2024-05-01,13643,-174,-80,-101,-376,-428,-368,-2718,-2693,-2673,-4117,-4028,-4125,20102,155,154,154,0,0,0,2024-May-01,2024-May-02,2024-May-01,-6091,-10095,-10450,-327,-460,21365,-461,-559,-440,2024-Feb-22 at 08:00,-2/0 (%),-13973,-18795,-19040,13832,22673,22632,65.4,-400.7,-6300,-11087,-11433,-209,-992,-982,35,912,882,0,0,0
2024-04-30,13782,-517,-139,-503,-373,-400,-383,-2705,-2683,-2581,-3959,-3934,-3960,20429,154,154,146,9,0,0,2024-Apr-30,2024-May-01,2024-Apr-30,-6160,-10114,-10403,-360,-245,21365,-529,-525,-444,2024-Feb-22 at 08:00,-2/0 (%),-14243,-18590,-20853,13945,22549,24337,177.5,-514.1,-6677,-11048,-13484,-517,-934,-3081,0,795,2579,0,0,0
2024-04-29,14035,-783,-584,-740,-388,-394,-392,-2516,-2588,-2587,-4034,-3846,-4011,20789,150,146,158,46,0,43,2024-Apr-29,2024-Apr-30,2024-Apr-29,-5887,-10086,-10364,167,-292,21365,-579,-495,-568,2024-Feb-22 at 08:00,-2/0 (%),-14187,-20444,-21119,14231,24207,24254,387.3,-44.9,-6670,-13120,-13560,-783,-3034,-3196,0,2449,2455,0,0,0
2024-04-28,14085,-1235,-614,-1283,-412,-398,-401,-2526,-2394,-2578,-3969,-3939,-3964,20622,99,157,121,146,46,153,2024-Apr-28,2024-Apr-29,2024-Apr-28,-5619,-10047,-10411,-226,-1411,21542,-583,-625,-593,2024-Feb-22 at 08:00,-2/0 (%),-14409,-20458,-21800,14396,24240,24440,414.3,-417.8,-6920,-13102,-14264,-1301,-3056,-3854,66,2442,2571,0,0,0
2024-04-27,13988,-1004,-1331,-1037,-407,-402,-401,-2531,-2614,-2444,-3954,-3918,-3954,20848,112,121,121,124,153,153,2024-Apr-27,2024-Apr-28,2024-Apr-27,-5728,-10062,-10423,31,104,21542,-596,-621,-585,2024-Feb-22 at 08:00,-2/0 (%),-14269,-21385,-21513,14274,24305,24538,315.2,-380.3,-6781,-13830,-14129,-1053,-3767,-3706,50,2436,2669,0,0,0
2024-04-26,14046,-1381,-1194,-1336,-400,-402,-405,-2217,-2456,-2189,-4107,-3902,-4005,20816,118,121,121,192,153,191,2024-Apr-26,2024-Apr-27,2024-Apr-26,-6098,-10061,-10385,-522,-550,21542,-545,-631,-486,2024-Feb-22 at 08:00,-2/0 (%),-14755,-21127,-21429,14362,24350,24531,390.0,-507.9,-7485,-13737,-14345,-1387,-3676,-3960,6,2482,2623,0,0,0
2024-04-25,14180,-1734,-965,-1610,-432,-434,-437,-2190,-2192,-2159,-4028,-4001,-4064,21338,168,121,107,147,145,145,2024-Apr-25,2024-Apr-26,2024-Apr-25,-5727,-10037,-10330,-191,-685,21542,-509,-486,-515,2024-Feb-22 at 08:00,-2/0 (%),-14620,-20557,-21800,14495,24304,24537,680.8,-225.2,-7461,-13444,-14625,-1734,-3407,-4295,0,2442,2686,0,0,0
2024-04-24,14165,-1792,-1197,-1718,-429,-432,-434,-2297,-2153,-2191,-3918,-3983,-4064,21529,79,109,93,155,119,146,2024-Apr-24,2024-Apr-25,2024-Apr-24,-5661,-9996,-10324,-173,-230,21542,-356,-451,-456,2024-Feb-22 at 08:00,-2/0 (%),-14454,-20684,-21932,14400,24297,24591,705.7,-113.2,-7453,-13664,-14787,-1792,-3668,-4463,0,2471,2744,0,0,0
2024-04-23,14232,-1658,-1395,-1672,-422,-430,-419,-2344,-2185,-2241,-3950,-3934,-3945,21702,113,93,80,142,145,131,2024-Apr-23,2024-Apr-24,2024-Apr-23,-5667,-10000,-10297,-69,-511,21542,-564,-377,-439,2024-Feb-22 at 08:00,-2/0 (%),-14605,-20731,-21779,14487,24255,24582,583.1,-81.8,-7325,-13805,-14735,-1658,-3804,-4439,0,2409,2766,0,0,0
2024-04-22,14297,-1635,-1080,-1706,-381,-385,-383,-2288,-2191,-2471,-3792,-3790,-3795,21771,50,81,76,124,90,123,2024-Apr-22,2024-Apr-23,2024-Apr-22,-5782,-9952,-10357,260,-403,21542,-345,-386,-464,2024-Feb-22 at 08:00,-2/0 (%),-14223,-20238,-21893,14471,24222,24511,802.7,-107.3,-7417,-13486,-14779,-1635,-3534,-4423,0,2454,2716,0,0,0
2024-04-21,14130,-1446,-1131,-1444,-355,-367,-379,-2376,-2465,-2472,-3798,-3710,-3804,21511,93,77,72,117,98,127,2024-Apr-21,2024-Apr-22,2024-Apr-21,-5676,-9987,-10347,367,5,21542,-258,-353,-387,2024-Feb-22 at 08:00,-2/0 (%),-13910,-20601,-21619,14340,24351,23202,494.1,66.9,-7123,-13706,-14577,-1446,-3719,-4230,0,2588,2786,0,0,0
2024-04-20,13636,-695,-936,-814,-373,-368,-360,-2472,-2452,-2483,-3847,-3738,-3802,21145,83,68,68,144,98,143,2024-Apr-20,2024-Apr-21,2024-Apr-20,-5859,-9952,-10373,220,36,21542,-438,-400,-370,2024-Feb-22 at 08:00,-2/0 (%),-13686,-20383,-20924,13864,17714,17940,200.9,-31.0,-6556,-13425,-13909,-696,-3473,-3537,1,2537,2723,0,0,0
2024-04-19,13817,-50,-634,-149,-383,-360,-366,-2395,-2471,-2357,-4005,-3736,-4003,20925,87,68,64,171,96,117,2024-Apr-19,2024-Apr-20,2024-Apr-19,-6478,-9956,-10353,212,-128,21542,-554,-365,-462,2024-Feb-22 at 08:00,-2/0 (%),-14125,-20108,-20652,14335,17631,19427,144.9,-187.9,-6788,-13177,-13464,-310,-3221,-3111,260,2587,2962,0,0,0
2024-04-18,14173,-727,-182,-608,-360,-382,-361,-2418,-2413,-2339,-3874,-3946,-3856,20713,83,93,98,127,154,126,2024-Apr-18,2024-Apr-19,2024-Apr-18,-6491,-9975,-10338,-251,-257,21542,-602,-477,-624,2024-Feb-22 at 08:00,-2/0 (%),-14488,-20044,-20816,14399,24512,24483,90.9,-391.6,-7234,-12826,-13637,-742,-2851,-3299,16,2669,2692,0,0,0
2024-04-17,14191,-1226,-825,-1115,-377,-384,-388,-2435,-2233,-2487,-3684,-3812,-3693,20964,70,98,93,232,126,232,2024-Apr-17,2024-Apr-18,2024-Apr-17,-6397,-9969,-10343,-244,-797,21719,-530,-648,-628,2024-Feb-22 at 08:00,-2/0 (%),-14649,-20302,-21099,14493,24220,24336,409.0,-557.0,-7624,-13226,-13904,-1226,-3257,-3561,0,2432,2445,0,0,0
2024-04-16,14228,-1024,-953,-1093,-387,-384,-375,-2387,-2504,-2419,-3735,-3572,-3713,21208,74,94,109,329,234,326,2024-Apr-16,2024-Apr-17,2024-Apr-16,-6346,-9948,-10324,-513,-109,21719,-532,-623,-513,2024-Feb-22 at 08:00,-2/0 (%),-14411,-20421,-20941,14630,24332,24502,301.3,-284.0,-7369,-13338,-13922,-1024,-3390,-3598,0,2437,2505,0,0,0
