Date,NGTL Field Receipts,Total Net Storage,OTHER BORDERS,ALBERTA-B.C. BDR,EMPRESS BORDER,End of Day Linepack,GORDONDALE BORDER,GROUNDBIRCH EAST,Gas Day,Intraprovincial,Linepack Change (Last 24 hours),Linepack Rate of Change,Linepack Target,MCNEILL BORDER,Tolerance Last Changed,Tolerance,Total NGTL Deliveries,Total NGTL Receipts,Total OBA Account (TJ),Total SD Account (TJ),Total Storage + Intraprovincial,Total Storage Deliveries,Total Storage Receipts,WILLOW VALLEY INTERCONNECT,NIT_Price,MAX_TEMPERATURE,MIN_TEMPERATURE,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS
2024-01-01,14300,300,-327,-2814,-4574,21736,81,199,2024-Jan-01,-6944,-138,-309,21189,-452,2023-Aug-3 at 08:00,-1/1 (%),-15171,14939,514.0,113.4,-7004,-60,359,0,1.63,4.2,-4.2,0.0,50.0,92.0,2.0,2.0,0.0,18.0,0.0
2024-01-02,14243,733,-327,-2889,-4571,21468,88,196,2024-Jan-02,-7317,-269,-340,21189,-455,2023-Aug-3 at 08:00,-1/1 (%),-15562,15264,468.0,-207.8,-7320,-3,737,0,1.63,3.1,-7.3,-2.1,50.0,95.0,0.0,0.0,0.0,20.1,0.0
2024-01-03,14113,1114,-315,-2859,-4580,21534,113,242,2024-Jan-03,-7253,66,-226,21189,-562,2023-Aug-3 at 08:00,-1/1 (%),-15568,15581,429.7,-82.9,-7253,0,1114,0,1.68,-4.0,-8.3,-6.2,95.0,98.0,0.0,0.0,0.0,24.2,0.0
2024-01-04,14138,1600,-301,-2986,-4590,21993,126,200,2024-Jan-04,-7135,459,641,21189,-606,2023-Aug-3 at 08:00,-1/1 (%),-15618,16065,554.8,323.0,-7135,0,1600,0,1.86,4.4,-8.3,-2.0,42.0,98.0,0.0,0.0,0.0,20.0,0.0
2024-01-05,14135,1171,-302,-2924,-4557,22115,111,123,2024-Jan-05,-7203,122,65,21189,-537,2023-Aug-3 at 08:00,-1/1 (%),-15523,15540,795.8,114.3,-7203,0,1171,0,2.36,3.9,-3.7,0.1,31.0,82.0,0.0,0.0,0.0,17.9,0.0
2024-01-06,14018,1490,-331,-2833,-4571,22132,144,66,2024-Jan-06,-7474,17,-400,21189,-602,2023-Aug-3 at 08:00,-1/1 (%),-15812,15718,919.4,-57.0,-7474,0,1490,0,2.25,-0.4,-9.6,-5.0,44.0,86.0,1.2,0.0,1.0,23.0,0.0
2024-01-07,13967,2230,-333,-2922,-4592,22302,173,1,2024-Jan-07,-7866,170,1,21189,-636,2023-Aug-3 at 08:00,-1/1 (%),-16349,16371,903.4,50.2,-7866,0,2230,0,2.25,-9.6,-17.4,-13.5,71.0,87.0,2.0,0.0,3.2,31.5,0.0
2024-01-08,13785,2470,-334,-2924,-4606,22666,112,103,2024-Jan-08,-7637,365,475,21189,-658,2023-Aug-3 at 08:00,-1/1 (%),-16159,16469,939.5,484.2,-7637,0,2470,0,2.25,-1.9,-19.6,-10.8,36.0,84.0,0.0,0.0,0.0,28.8,0.0
2024-01-09,13569,2435,-351,-2955,-4601,22527,142,33,2024-Jan-09,-7732,-139,-512,21189,-717,2023-Aug-3 at 08:00,-1/1 (%),-16355,16179,723.7,642.0,-7732,0,2435,0,2.58,0.1,-15.4,-7.7,44.0,82.0,0.8,0.0,0.8,25.7,0.0
2024-01-10,13028,3410,-405,-2911,-4489,22332,148,51,2024-Jan-10,-8375,-196,-780,21189,-776,2023-Aug-3 at 08:00,-1/1 (%),-16955,16637,763.3,231.2,-8375,0,3410,0,3.25,-15.3,-24.4,-19.9,69.0,79.0,10.0,0.0,10.0,37.9,0.0
